ID;Model;Phase;Device /Usage;Country;Internet provider;Indicator;Unit;Value ;Source;Source details
162;REN;Production;Palladium content;;;Mean concentration of ore in metal;%;7.6E-06;Oliver Vidal / Gérôme, Charlier (612) / Polak ;Vidal, O. (2018). Matières premières et énergie - Les enjeux de demain. ISTE Editions, 2018, 148 p. / Gérôme J-A., Charlier, C. (2017). Récupération de tantale et d'étain d'un minerai namibien par une table densimétrique à air. Revue Scientifique des Ingénieurs Indutriels, n°31, p. 229-255. / Polak, C. (2009). Métallurgie et recyclage du niobium et du tantale. Techniques de l'ingénieur - Métallurgie extractive. Editions T.I. n° m2365. 
163;REN;Production;Rock;;;Mean density of rock;m3/kg;3000;Mean order of magnitude;Mean order of magnitude
164;REN;Production;Gallium content;;;Mass of rock extracted per unit mass of metal;kg_rock / kg_metal ;49999;Calculated;157
165;REN;Production;Indium content;;;Mass of rock extracted per unit mass of metal;kg_rock / kg_metal ;49999;Calculated;158
166;REN;Production;Tantalum content;;;Mass of rock extracted per unit mass of metal;kg_rock / kg_metal ;193.805194805195;Calculated;159
167;REN;Production;Copper content;;;Mass of rock extracted per unit mass of metal;kg_rock / kg_metal ;75.9230769230769;Calculated;160
168;REN;Production;Cobalt content;;;Mass of rock extracted per unit mass of metal;kg_rock / kg_metal ;499;Calculated;161
169;REN;Production;Palladium content;;;Mass of rock extracted per unit mass of metal;kg_rock / kg_metal ;131577.947368421;Calculated;162
170;REN;Production;Gallium content;;;Volume of rock extracted per unit mass of metal;m3_rock / kg_metal;16.6663333333333;Calculated;163, 164
171;REN;Production;Indium content;;;Volume of rock extracted per unit mass of metal;m3_rock / kg_metal;16.6663333333333;Calculated;163, 165
172;REN;Production;Tantalum content;;;Volume of rock extracted per unit mass of metal;m3_rock / kg_metal;0.064601731601732;Calculated;163, 166
173;REN;Production;Copper content;;;Volume of rock extracted per unit mass of metal;m3_rock / kg_metal;0.025307692307692;Calculated;163, 167
174;REN;Production;Cobalt content;;;Volume of rock extracted per unit mass of metal;m3_rock / kg_metal;0.166333333333333;Calculated;163, 168
175;REN;Production;Palladium content;;;Volume of rock extracted per unit mass of metal;m3_rock / kg_metal;43.8593157894737;Calculated;163, 169
176;1byte model;Run;Smartphone;;;Daily Use;h/day;2.5;Kantar TNS Study; https://www.tns-sofres.com/publications/les-millennials-passent-un-jour-par-semaine-sur-leur-smartphone, visited 01/10/2018.
177;1byte model;Run;Laptop;;;Daily Use;h/day;8;Energy Star Requirements;" p. 16 : https://www.energystar.gov/products/office_equipment/computers/key_product_criteria, ""Computer Version 6.1Program Requirements """
178;1byte model;Run;Smartphone;;;Yearly use;h/year;913.125;Calculated;176
179;1byte model;Run;Laptop;;;Yearly use;h/year;2922;Calculated;177
42;1byte model;Run;Smartphone;;;Energy Impact;kWh/min;0.000107688797627;Calculated;176, 122
43;1byte model;Run;Laptop;;;Energy Impact;kWh/min;0.000319415925165;Calculated;177, 119
180;1byte model;Run;Email, Smartphone, FAN Wired;;;Energy Impact;kWh;0.000824066392882;Calculated;149, 151, 42, 153, 156
181;1byte model;Run;Email, Smartphone, FAN WIFI;;;Energy Impact;kWh;0.000547066392882;Calculated;149, 151, 42, 154, 156
182;1byte model;Run;Email, Smartphone, Mobile Network ;;;Energy Impact;kWh;0.001279066392882;Calculated;149, 151, 42, 155, 156
183;1byte model;Run;Email, Laptop, FAN Wired;;;Energy Impact;kWh;0.001459247775496;Calculated;149, 151, 43, 153, 156
184;1byte model;Run;Email, Laptop, FAN WIFI;;;Energy Impact;kWh;0.001182247775496;Calculated;149, 151, 43, 154, 156
185;1byte model;Run;Email, Laptop, Mobile Network ;;;Energy Impact;kWh;0.001914247775496;Calculated;149, 151, 43, 155, 156
186;1byte model;Run;Online video (1080p), Smartphone, FAN Wired;;;Energy Impact;kWh;0.086246887976272;Calculated;150, 152, 42, 153, 156
187;1byte model;Run;Online video (1080p), Smartphone, FAN WIFI;;;Energy Impact;kWh;0.039156887976272;Calculated;150, 152, 42, 154, 156
188;1byte model;Run;Online video (1080p), Smartphone, Mobile Network ;;;Energy Impact;kWh;0.163596887976272;Calculated;150, 152, 42, 155, 156
189;1byte model;Run;Online video (1080p), Laptop, FAN Wired;;;Energy Impact;kWh;0.088364159251654;Calculated;150, 152, 43, 153, 156
190;1byte model;Run;Online video (1080p), Laptop, FAN WIFI;;;Energy Impact;kWh;0.041274159251654;Calculated;150, 152, 43, 154, 156
191;1byte model;Run;Online video (1080p), Laptop, Mobile Network ;;;Energy Impact;kWh;0.165714159251654;Calculated;150, 152, 43, 155, 156
